u,g,r,i,z,u-g,g-r,r-i,i-z,Class
20.24753,19.21962,18.89337,18.7304,18.7158,1.02791,0.32625,0.16297,0.0146,1
19.57048,18.613,18.37596,18.26491,18.30243,0.95748,0.23704,0.11105,-0.03752,1
20.06599,19.10717,18.87055,18.74583,18.75294,0.95882,0.23662,0.12472,-0.00711,1
20.63868,19.60697,19.32778,19.18042,19.13407,1.03171,0.27919,0.14736,0.04635,1
20.74444,19.80793,19.48814,19.36687,19.31429,0.93651,0.31979,0.12127,0.05258,1
19.77446,18.82997,18.58689,18.44923,18.47103,0.94449,0.24308,0.13766,-0.0218,1
20.41023,19.42857,19.15394,19.02596,19.06273,0.98166,0.27463,0.12798,-0.03677,1
21.1356,20.01696,19.68533,19.47341,19.36531,1.11864,0.33163,0.21192,0.1081,1
21.06753,20.18624,19.83977,19.68615,19.6662,0.88129,0.34647,0.15362,0.01995,1
21.52286,20.40056,19.97572,19.69927,19.57605,1.1223,0.42484,0.27645,0.12322,1
20.57871,19.64135,19.35021,19.23529,19.18793,0.93736,0.29114,0.11492,0.04736,1
20.76727,19.78567,19.57115,19.38953,19.49644,0.9816,0.21452,0.18162,-0.10691,1
21.02064,20.19083,19.90837,19.72067,19.65279,0.82981,0.28246,0.1877,0.06788,1
20.67607,19.80815,19.54156,19.34752,19.30872,0.86792,0.26659,0.19404,0.0388,1
19.90647,18.94194,18.6888,18.55868,18.56302,0.96453,0.25314,0.13012,-0.00434,1
20.39414,19.37199,19.12268,18.99936,19.03584,1.02215,0.24931,0.12332,-0.03648,1
20.07891,18.95117,18.66907,18.52944,18.80228,1.12774,0.2821,0.13963,-0.27284,1
20.33139,19.45394,19.16307,19.06746,18.97799,0.87745,0.29087,0.09561,0.08947,1
20.6394,19.7161,19.42798,19.29631,19.19914,0.9233,0.28812,0.13167,0.09717,1
21.9228,20.44253,19.9911,19.81074,19.83903,1.48027,0.45143,0.18036,-0.02829,1
20.90705,20.05608,19.73032,19.54215,19.57157,0.85097,0.32576,0.18817,-0.02942,1
21.09156,19.96982,19.68584,19.40792,19.60858,1.12174,0.28398,0.27792,-0.20066,1
20.25929,19.34701,19.09491,18.99217,19.02114,0.91228,0.2521,0.10274,-0.02897,1
20.51403,19.54057,19.26525,19.14576,19.20003,0.97346,0.27532,0.11949,-0.05427,1
20.70291,19.73634,19.4567,19.29743,19.3996,0.96657,0.27964,0.15927,-0.10217,1
20.02813,19.06241,18.73253,18.54386,18.45645,0.96572,0.32988,0.18867,0.08741,1
21.41422,20.26922,19.85919,19.67926,19.77519,1.145,0.41003,0.17993,-0.09593,1
21.37391,20.18292,19.80326,19.6161,19.7164,1.19099,0.37966,0.18716,-0.1003,1
21.45729,20.27085,19.94958,19.79713,19.61596,1.18644,0.32127,0.15245,0.18117,1
19.76016,18.84634,18.61891,18.50648,18.45775,0.91382,0.22743,0.11243,0.04873,1
20.24169,19.28076,18.98936,18.90837,18.86657,0.96093,0.2914,0.08099,0.0418,1
19.38895,18.43737,18.18439,18.09238,18.02836,0.95158,0.25298,0.09201,0.06402,1
19.98078,18.99134,18.73881,18.6251,18.59325,0.98944,0.25253,0.11371,0.03185,1
20.62649,19.77932,19.46626,19.31643,19.28539,0.84717,0.31306,0.14983,0.03104,1
20.01548,19.18969,18.93925,18.82879,18.8675,0.82579,0.25044,0.11046,-0.03871,1
20.24719,19.35833,19.08107,18.97781,18.94027,0.88886,0.27726,0.10326,0.03754,1
20.13482,19.31516,19.03526,18.90844,18.81852,0.81966,0.2799,0.12682,0.08992,1
19.45865,18.53776,18.29593,18.18767,18.18396,0.92089,0.24183,0.10826,0.00371,1
20.06742,19.10783,18.83238,18.7269,18.70367,0.95959,0.27545,0.10548,0.02323,1
19.91148,18.94991,18.70058,18.57631,18.56246,0.96157,0.24933,0.12427,0.01385,1
20.40837,19.51893,19.23635,19.03597,19.08246,0.88944,0.28258,0.20038,-0.04649,1
19.3659,18.44303,18.18444,18.08632,18.06767,0.92287,0.25859,0.09812,0.01865,1
20.65546,19.67227,19.36905,19.20461,19.26333,0.98319,0.30322,0.16444,-0.05872,1
19.70433,18.72116,18.48599,18.39705,18.34352,0.98317,0.23517,0.08894,0.05353,1
19.95193,18.98817,18.76399,18.66809,18.59332,0.96376,0.22418,0.0959,0.07477,1
20.06832,19.10602,18.84027,18.76082,18.74598,0.9623,0.26575,0.07945,0.01484,1
20.44444,19.47136,19.12259,18.9611,18.84014,0.97308,0.34877,0.16149,0.12096,1
20.4952,19.52874,19.24084,19.14781,19.23363,0.96646,0.2879,0.09303,-0.08582,1
20.48753,19.59056,19.29824,19.16027,19.12361,0.89697,0.29232,0.13797,0.03666,1
19.64478,18.75962,18.50923,18.39769,18.3366,0.88516,0.25039,0.11154,0.06109,1
20.09245,19.19264,18.94649,18.84274,18.78906,0.89981,0.24615,0.10375,0.05368,1
20.26259,19.33502,19.06169,18.93019,18.94407,0.92757,0.27333,0.1315,-0.01388,1
20.74002,19.75671,19.48651,19.32613,19.37248,0.98331,0.2702,0.16038,-0.04635,1
20.25052,19.24034,18.98591,18.85862,18.85884,1.01018,0.25443,0.12729,-2.20E-04,1
20.52042,19.56959,19.24775,19.1297,19.02544,0.95083,0.32184,0.11805,0.10426,1
19.91123,18.98675,18.76024,18.66296,18.66398,0.92448,0.22651,0.09728,-0.00102,1
21.19513,20.21982,19.84878,19.74193,19.55604,0.97531,0.37104,0.10685,0.18589,1
20.83772,19.79323,19.48044,19.39122,19.40355,1.04449,0.31279,0.08922,-0.01233,1
20.48951,19.64844,19.34728,19.21821,19.1797,0.84107,0.30116,0.12907,0.03851,1
20.25574,19.42311,19.14483,19.01142,19.05418,0.83263,0.27828,0.13341,-0.04276,1
19.47519,18.51889,18.25566,18.16612,18.17421,0.9563,0.26323,0.08954,-0.00809,1
19.42167,18.45775,18.20975,18.08727,18.05801,0.96392,0.248,0.12248,0.02926,1
21.07972,20.033,19.67606,19.56714,19.60296,1.04672,0.35694,0.10892,-0.03582,1
21.00414,19.93802,19.51297,19.34554,19.25219,1.06612,0.42505,0.16743,0.09335,1
19.4333,18.44093,18.18382,18.1036,18.07258,0.99237,0.25711,0.08022,0.03102,1
19.627,18.68715,18.42386,18.33299,18.32589,0.93985,0.26329,0.09087,0.0071,1
20.01356,19.07321,18.79494,18.69538,18.64697,0.94035,0.27827,0.09956,0.04841,1
20.38775,19.4685,19.22444,19.10312,19.10476,0.91925,0.24406,0.12132,-0.00164,1
20.48958,19.59551,19.32977,19.2133,19.15788,0.89407,0.26574,0.11647,0.05542,1
19.61757,18.68353,18.4838,18.36996,18.34431,0.93404,0.19973,0.11384,0.02565,1
21.12854,20.08829,19.8025,19.67484,19.56707,1.04025,0.28579,0.12766,0.10777,1
19.37039,18.38442,18.14392,18.04298,18.04764,0.98597,0.2405,0.10094,-0.00466,1
20.73581,19.71597,19.40672,19.30257,19.25511,1.01984,0.30925,0.10415,0.04746,1
20.94364,19.92754,19.59343,19.48124,19.44512,1.0161,0.33411,0.11219,0.03612,1
20.10077,19.14837,18.89884,18.82467,18.75662,0.9524,0.24953,0.07417,0.06805,1
20.75665,19.90298,19.5602,19.46856,19.38762,0.85367,0.34278,0.09164,0.08094,1
19.78432,18.8139,18.56138,18.46534,18.47459,0.97042,0.25252,0.09604,-0.00925,1
19.87204,18.94251,18.69354,18.58614,18.53259,0.92953,0.24897,0.1074,0.05355,1
19.91922,18.94703,18.69703,18.57446,18.59042,0.97219,0.25,0.12257,-0.01596,1
20.56587,19.63693,19.35487,19.22482,19.12456,0.92894,0.28206,0.13005,0.10026,1
20.82243,19.8516,19.52474,19.38413,19.35331,0.97083,0.32686,0.14061,0.03082,1
20.07122,19.07553,18.85575,18.76302,18.80109,0.99569,0.21978,0.09273,-0.03807,1
21.16211,19.98413,19.71761,19.62914,19.56824,1.17798,0.26652,0.08847,0.0609,1
19.47581,18.49203,18.25112,18.15432,18.17854,0.98378,0.24091,0.0968,-0.02422,1
20.98117,19.97388,19.6633,19.54127,19.55215,1.00729,0.31058,0.12203,-0.01088,1
19.88718,18.95248,18.72236,18.65452,18.61552,0.9347,0.23012,0.06784,0.039,1
20.79716,19.78398,19.50523,19.36035,19.38038,1.01318,0.27875,0.14488,-0.02003,1
20.7869,19.76393,19.48154,19.33537,19.2788,1.02297,0.28239,0.14617,0.05657,1
20.20894,19.35285,19.07467,18.94842,18.91277,0.85609,0.27818,0.12625,0.03565,1
19.77174,18.80031,18.58331,18.4508,18.43187,0.97143,0.217,0.13251,0.01893,1
20.54002,19.63911,19.3658,19.21648,19.23515,0.90091,0.27331,0.14932,-0.01867,1
20.68213,19.69785,19.40365,19.27892,19.23872,0.98428,0.2942,0.12473,0.0402,1
20.33794,19.42514,19.11546,18.999,18.90001,0.9128,0.30968,0.11646,0.09899,1
20.02904,19.00647,18.77322,18.65628,18.71656,1.02257,0.23325,0.11694,-0.06028,1
20.17229,19.3402,19.07228,18.93792,18.93146,0.83209,0.26792,0.13436,0.00646,1
20.10862,19.2084,18.9419,18.82576,18.7832,0.90022,0.2665,0.11614,0.04256,1
19.96633,18.9845,18.75051,18.63823,18.63241,0.98183,0.23399,0.11228,0.00582,1
21.30467,20.11961,19.81685,19.67739,19.67402,1.18506,0.30276,0.13946,0.00337,1
20.74134,19.76457,19.44334,19.32078,19.20735,0.97677,0.32123,0.12256,0.11343,1
20.16761,19.16909,18.88778,18.71304,18.72422,0.99852,0.28131,0.17474,-0.01118,1
20.33112,19.42201,19.15432,19.02981,18.91958,0.90911,0.26769,0.12451,0.11023,1
20.3884,19.56096,19.27483,19.11407,19.14097,0.82744,0.28613,0.16076,-0.0269,1
19.69991,18.77341,18.54617,18.44945,18.37517,0.9265,0.22724,0.09672,0.07428,1
20.53772,19.67001,19.40072,19.25853,19.26907,0.86771,0.26929,0.14219,-0.01054,1
19.92811,18.95032,18.71865,18.59706,18.62843,0.97779,0.23167,0.12159,-0.03137,1
20.23409,19.37312,19.10638,18.96412,18.87061,0.86097,0.26674,0.14226,0.09351,1
20.42306,19.49022,19.22416,19.04845,19.05037,0.93284,0.26606,0.17571,-0.00192,1
20.58017,19.71937,19.40145,19.25869,19.2247,0.8608,0.31792,0.14276,0.03399,1
19.39506,18.41939,18.16702,18.05186,18.04888,0.97567,0.25237,0.11516,0.00298,1
20.2519,19.31723,19.06428,18.9559,18.95939,0.93467,0.25295,0.10838,-0.00349,1
20.50206,19.46599,19.18856,19.07895,19.05997,1.03607,0.27743,0.10961,0.01898,1
20.6868,19.59887,19.3437,19.18065,19.20839,1.08793,0.25517,0.16305,-0.02774,1
20.65775,19.65578,19.39608,19.28483,19.29363,1.00197,0.2597,0.11125,-0.0088,1
20.82503,19.82604,19.55102,19.38914,19.4112,0.99899,0.27502,0.16188,-0.02206,1
20.96584,20.0033,19.73854,19.5222,19.65322,0.96254,0.26476,0.21634,-0.13102,1
21.00813,20.12259,19.81509,19.6383,19.68761,0.88554,0.3075,0.17679,-0.04931,1
21.35697,20.24477,19.82232,19.61091,19.56654,1.1122,0.42245,0.21141,0.04437,1
20.8604,20.00555,19.6385,19.51031,19.44399,0.85485,0.36705,0.12819,0.06632,1
20.40465,19.47506,19.2184,19.10147,19.13109,0.92959,0.25666,0.11693,-0.02962,1
20.02943,19.03103,18.78186,18.68345,18.63715,0.9984,0.24917,0.09841,0.0463,1
20.0957,19.12162,18.88927,18.76118,18.74215,0.97408,0.23235,0.12809,0.01903,1
20.50783,19.56737,19.2655,19.09898,19.14441,0.94046,0.30187,0.16652,-0.04543,1
20.33323,19.36445,19.05467,18.93819,19.00268,0.96878,0.30978,0.11648,-0.06449,1
19.7284,18.7788,18.5428,18.43952,18.44989,0.9496,0.236,0.10328,-0.01037,1
20.9015,19.76026,19.4761,19.26487,19.21452,1.14124,0.28416,0.21123,0.05035,1
21.1676,20.16553,19.88066,19.70038,19.71605,1.00207,0.28487,0.18028,-0.01567,1
21.07694,19.96176,19.65315,19.47196,19.5222,1.11518,0.30861,0.18119,-0.05024,1
20.56255,19.61233,19.30167,19.16285,19.09023,0.95022,0.31066,0.13882,0.07262,1
19.86436,18.83837,18.60072,18.49575,18.45183,1.02599,0.23765,0.10497,0.04392,1
20.15549,19.19121,18.92477,18.82665,18.84698,0.96428,0.26644,0.09812,-0.02033,1
20.96923,19.9375,19.60811,19.4355,19.49675,1.03173,0.32939,0.17261,-0.06125,1
21.18186,20.10278,19.79033,19.66934,19.73433,1.07908,0.31245,0.12099,-0.06499,1
19.85288,18.91565,18.65286,18.5169,18.50153,0.93723,0.26279,0.13596,0.01537,1
20.50417,19.48141,19.20438,19.06295,18.97975,1.02276,0.27703,0.14143,0.0832,1
20.18613,19.20148,18.98236,18.83159,18.82668,0.98465,0.21912,0.15077,0.00491,1
21.18341,20.1504,19.82639,19.67866,19.55444,1.03301,0.32401,0.14773,0.12422,1
20.88087,19.92932,19.63108,19.44084,19.47272,0.95155,0.29824,0.19024,-0.03188,1
21.23714,20.0992,19.80801,19.59918,19.62107,1.13794,0.29119,0.20883,-0.02189,1
20.16809,19.22127,18.98561,18.86291,18.78817,0.94682,0.23566,0.1227,0.07474,1
20.9278,19.86814,19.56305,19.41454,19.39811,1.05966,0.30509,0.14851,0.01643,1
20.43914,19.408,19.14973,19.05326,19.0132,1.03114,0.25827,0.09647,0.04006,1
19.58735,18.61359,18.37511,18.31252,18.25766,0.97376,0.23848,0.06259,0.05486,1
19.97673,19.14672,18.90263,18.7881,18.87749,0.83001,0.24409,0.11453,-0.08939,1
19.79744,18.82198,18.56246,18.46682,18.41688,0.97546,0.25952,0.09564,0.04994,1
20.60755,19.78415,19.48353,19.36242,19.30223,0.8234,0.30062,0.12111,0.06019,1
20.43435,19.52292,19.27039,19.1418,19.09233,0.91143,0.25253,0.12859,0.04947,1
20.60609,19.72299,19.42659,19.25141,19.14843,0.8831,0.2964,0.17518,0.10298,1
20.94396,19.93475,19.62089,19.44868,19.37482,1.00921,0.31386,0.17221,0.07386,1
20.95227,20.00163,19.72276,19.54445,19.52046,0.95064,0.27887,0.17831,0.02399,1
20.18537,19.31917,19.03557,18.91271,18.93126,0.8662,0.2836,0.12286,-0.01855,1
20.28507,19.33737,19.07142,18.95423,18.8963,0.9477,0.26595,0.11719,0.05793,1
21.18452,20.2585,19.93104,19.72582,19.60852,0.92602,0.32746,0.20522,0.1173,1
20.39555,19.53181,19.25083,19.10343,19.03717,0.86374,0.28098,0.1474,0.06626,1
21.19193,20.35909,19.95748,19.81088,19.70522,0.83284,0.40161,0.1466,0.10566,1
20.03166,19.02054,18.78389,18.69281,18.7456,1.01112,0.23665,0.09108,-0.05279,1
20.65096,19.66697,19.39293,19.28134,19.29381,0.98399,0.27404,0.11159,-0.01247,1
19.94441,18.97715,18.73959,18.62696,18.56147,0.96726,0.23756,0.11263,0.06549,1
20.40642,19.52513,19.24548,19.11639,19.08974,0.88129,0.27965,0.12909,0.02665,1
21.07433,20.10563,19.77458,19.59432,19.59599,0.9687,0.33105,0.18026,-0.00167,1
19.75374,18.85005,18.59126,18.45931,18.46631,0.90369,0.25879,0.13195,-0.007,1
20.98986,20.03973,19.69499,19.58436,19.41812,0.95013,0.34474,0.11063,0.16624,1
20.98796,19.96345,19.66273,19.5086,19.50953,1.02451,0.30072,0.15413,-9.30E-04,1
19.75271,18.83715,18.58281,18.48793,18.456,0.91556,0.25434,0.09488,0.03193,1
20.92416,19.94574,19.61645,19.4806,19.42688,0.97842,0.32929,0.13585,0.05372,1
19.70731,18.70294,18.47738,18.35768,18.37247,1.00437,0.22556,0.1197,-0.01479,1
20.14138,19.23187,18.97061,18.8676,18.91056,0.90951,0.26126,0.10301,-0.04296,1
21.36478,20.33008,19.95439,19.82244,19.85315,1.0347,0.37569,0.13195,-0.03071,1
20.29161,19.27419,19.02554,18.88993,18.82442,1.01742,0.24865,0.13561,0.06551,1
20.93938,19.82775,19.54477,19.37342,19.43434,1.11163,0.28298,0.17135,-0.06092,1
20.38137,19.45046,19.17368,19.10014,19.25571,0.93091,0.27678,0.07354,-0.15557,1
20.76377,19.73218,19.43828,19.25302,19.27034,1.03159,0.2939,0.18526,-0.01732,1
20.79629,19.74978,19.44365,19.28076,19.21781,1.04651,0.30613,0.16289,0.06295,1
19.9442,18.92659,18.67137,18.54253,18.59688,1.01761,0.25522,0.12884,-0.05435,1
20.84955,19.9715,19.63241,19.49049,19.40841,0.87805,0.33909,0.14192,0.08208,1
20.95601,19.94429,19.62626,19.52239,19.54094,1.01172,0.31803,0.10387,-0.01855,1
21.1094,20.01836,19.6684,19.56136,19.64881,1.09104,0.34996,0.10704,-0.08745,1
20.89029,19.93586,19.66537,19.51204,19.48358,0.95443,0.27049,0.15333,0.02846,1
20.84964,19.93577,19.56288,19.41937,19.3518,0.91387,0.37289,0.14351,0.06757,1
21.25205,20.16376,19.81706,19.70888,19.71912,1.08829,0.3467,0.10818,-0.01024,1
