u,g,r,i,z,u-g,g-r,r-i,i-z
21.22161,20.25505,19.94676,19.79604,19.83561,0.96656,0.30829,0.15072,-0.03957
20.10335,19.18018,18.91403,18.85508,18.94583,0.92317,0.26615,0.05895,-0.09075
18.82997,17.80787,17.36731,17.19992,17.13353,1.0221,0.44056,0.16739,0.06639
21.6898,20.28614,19.85064,19.73049,20.01649,1.40366,0.4355,0.12015,-0.286
19.16811,18.22341,17.93725,17.8302,17.81702,0.9447,0.28616,0.10705,0.01318
19.16671,18.09802,17.71021,17.593,17.55121,1.06869,0.38781,0.11721,0.04179
22.90062,20.93367,19.45864,18.96705,18.64334,1.96695,1.47503,0.49159,0.32371
20.47809,18.58848,17.87529,17.66219,17.56166,1.88961,0.71319,0.2131,0.10053
20.71622,19.95878,19.63084,19.57979,19.5682,0.75744,0.32794,0.05105,0.01159
19.8508,18.93825,18.70869,18.62548,18.68805,0.91255,0.22956,0.08321,-0.06257
19.82095,18.84716,18.63426,18.58253,18.63213,0.97379,0.2129,0.05173,-0.0496
21.62108,20.27345,19.82254,19.71635,19.59369,1.34763,0.45091,0.10619,0.12266
18.98052,17.93578,17.56394,17.36194,17.29119,1.04474,0.37184,0.202,0.07075
20.96551,20.03273,19.72692,19.5801,19.5215,0.93278,0.30581,0.14682,0.0586
19.44147,18.57178,18.36421,18.28305,18.26214,0.86969,0.20757,0.08116,0.02091
20.83453,19.88219,19.61965,19.46752,19.42229,0.95234,0.26254,0.15213,0.04523
17.23269,16.13269,15.79745,15.66991,15.66238,1.1,0.33524,0.12754,0.00753
18.48033,17.40977,16.96961,16.75891,16.66781,1.07056,0.44016,0.2107,0.0911
20.7994,19.90967,19.66893,19.50959,19.51441,0.88973,0.24074,0.15934,-0.00482
20.15896,19.41214,19.18625,19.07178,19.0997,0.74682,0.22589,0.11447,-0.02792
19.13974,17.50446,16.90131,16.67136,16.59051,1.63528,0.60315,0.22995,0.08085
23.56885,21.21756,19.82747,19.33505,19.03521,2.35129,1.39009,0.49242,0.29984
18.50353,17.42817,16.94176,16.7706,16.70109,1.07536,0.48641,0.17116,0.06951
19.18012,18.25431,17.96808,17.90928,17.93194,0.92581,0.28623,0.0588,-0.02266
21.34711,18.89379,17.83386,17.52033,17.35605,2.45332,1.05993,0.31353,0.16428
18.57758,17.50091,17.029,16.86322,16.77018,1.07667,0.47191,0.16578,0.09304
17.73043,16.56932,16.06698,15.86425,15.76446,1.16111,0.50234,0.20273,0.09979
18.99874,17.96588,17.52048,17.366,17.32149,1.03286,0.4454,0.15448,0.04451
17.86671,16.71069,16.21476,16.02197,15.92126,1.15602,0.49593,0.19279,0.10071
19.50886,18.60683,18.28907,18.2123,18.2875,0.90203,0.31776,0.07677,-0.0752
21.05932,19.89104,19.55865,19.47705,19.59321,1.16828,0.33239,0.0816,-0.11616
20.48769,19.36216,19.07397,19.02169,18.97478,1.12553,0.28819,0.05228,0.04691
16.43146,14.46086,13.71607,14.7511,13.35277,1.9706,0.74479,-1.03503,1.39833
19.55359,17.63935,16.9424,16.73332,16.62696,1.91424,0.69695,0.20908,0.10636
20.9745,19.97098,19.66957,19.58665,19.58454,1.00352,0.30141,0.08292,0.00211
24.63461,21.34608,19.85023,18.91333,18.37241,3.28853,1.49585,0.9369,0.54092
17.34388,15.47805,15.75754,15.86477,16.99991,1.86583,-0.27949,-0.10723,-1.13514
21.00665,20.07275,19.7268,19.6125,19.49171,0.9339,0.34595,0.1143,0.12079
20.98608,20.18994,19.89486,19.76715,19.57233,0.79614,0.29508,0.12771,0.19482
18.32565,17.26832,16.80759,16.58951,16.47759,1.05733,0.46073,0.21808,0.11192
19.94493,19.05876,18.83318,18.7342,18.67106,0.88617,0.22558,0.09898,0.06314
19.22978,18.34617,18.10273,18.08027,17.95903,0.88361,0.24344,0.02246,0.12124
20.06684,19.20369,18.97327,18.86967,18.94753,0.86315,0.23042,0.1036,-0.07786
19.67742,18.6856,18.47162,18.36366,18.35538,0.99182,0.21398,0.10796,0.00828
19.79231,18.92821,18.68249,18.50301,18.62483,0.8641,0.24572,0.17948,-0.12182
22.03024,19.42389,18.29626,17.85194,17.6341,2.60635,1.12763,0.44432,0.21784
20.9142,20.08591,19.79839,19.6399,19.70837,0.82829,0.28752,0.15849,-0.06847
15.58221,13.99202,13.2943,13.16032,13.4573,1.59019,0.69772,0.13398,-0.29698
19.64305,18.72643,18.52873,18.57606,18.40392,0.91662,0.1977,-0.04733,0.17214
23.40824,21.10578,19.80511,18.62493,17.9766,2.30246,1.30067,1.18018,0.64833
20.77424,19.83569,19.57619,19.49949,19.48794,0.93855,0.2595,0.0767,0.01155
21.23583,19.23003,18.30076,17.8801,17.66505,2.0058,0.92927,0.42066,0.21505
22.79964,20.71448,19.62487,19.17129,18.81853,2.08516,1.08961,0.45358,0.35276
