r0,g0-r0,Class
17.1333356,0.4678804,1
17.1403356,0.4438804,1
17.1463356,0.5108804,1
17.2233356,0.5298804,1
17.2453356,0.4828804,1
17.2783356,0.4308804,1
17.2813356,0.4918804,1
17.2533356,0.4428804,1
17.3933356,0.5108804,1
17.3243356,0.4498804,1
17.3803356,0.4358804,1
17.3753356,0.4518804,1
17.4173356,0.4908804,1
17.4363356,0.4968804,1
17.4533356,0.4558804,1
17.5383356,0.4698804,1
17.6143356,0.5148804,1
17.6663356,0.5408804,1
17.6763356,0.5298804,1
17.7563356,0.5028804,1
17.7413356,0.5128804,1
17.8953356,0.5348804,1
17.9763356,0.5158804,1
18.0353356,0.5748804,1
18.2063356,0.5848804,1
18.1313356,0.5648804,1
18.1523356,0.5038804,1
18.1673356,0.5308804,1
18.2813356,0.6178804,1
18.1863356,0.5778804,1
18.3113356,0.5748804,1
18.2213356,0.5478804,1
18.2943356,0.5548804,1
18.2943356,0.5258804,1
18.2363356,0.5828804,1
18.3713356,0.5258804,1
18.3423356,0.5448804,1
18.4753356,0.5308804,1
18.5213356,0.5138804,1
18.4393356,0.5878804,1
18.5113356,0.5988804,1
18.4833356,0.6188804,1
18.6063356,0.5658804,1
18.4843356,0.6018804,1
18.6403356,0.5998804,1
18.6323356,0.6218804,1
18.7083356,0.5818804,1
18.6923356,0.5748804,1
18.6523356,0.6648804,1
18.7513356,0.6188804,1
18.8193356,0.6498804,1
18.6963356,0.5468804,1
18.7003356,0.7068804,1
18.8453356,0.6458804,1
18.8953356,0.6868804,1
18.8363356,0.6278804,1
18.9753356,0.7518804,1
18.8963356,0.6138804,1
18.9023356,0.6778804,1
18.1353356,0.5568804,1
18.9153356,0.7488804,1
18.9183356,0.6878804,1
18.8043356,0.6058804,1
18.7723356,0.6378804,1
19.0463356,0.7348804,1
18.8853356,0.7008804,1
18.8963356,0.7508804,1
18.9593356,0.6858804,1
18.8983356,0.7028804,1
18.8263356,0.6548804,1
18.9203356,0.7478804,1
18.9733356,0.6668804,1
18.8603356,0.7128804,1
18.9823356,0.6318804,1
19.0153356,0.7078804,1
18.9563356,0.6528804,1
19.2383356,0.7818804,1
18.9793356,0.7128804,1
18.9743356,0.6488804,1
19.0933356,0.6958804,1
19.2263356,0.7808804,1
19.1213356,0.6518804,1
19.2273356,0.7138804,1
19.2453356,0.7028804,1
19.5513356,0.9128804,1
19.5743356,0.9378804,1
19.1753356,0.6678804,1
19.4463356,0.7088804,1
19.6623356,0.7748804,1
19.9273356,0.9608804,1
20.1913356,1.0068804,1
19.6443356,0.9268804,1
19.6453356,0.7648804,1
20.0403356,0.8618804,1
19.7393356,0.7508804,1
19.9153356,0.9838804,1
20.2093356,1.0608804,1
20.0483356,0.9708804,1
19.7283356,0.7548804,1
19.9983356,0.8818804,1
19.8323356,0.8468804,1
16.9763356,0.4898804,1
17.0643356,0.4748804,1
17.3233356,0.4858804,1
17.6223356,0.4938804,1
17.7813356,0.5148804,1
17.8313356,0.4838804,1
17.9613356,0.5548804,1
17.8413356,0.4868804,1
17.9433356,0.5138804,1
17.9663356,0.4998804,1
18.1673356,0.5678804,1
18.3393356,0.5668804,1
18.2673356,0.6218804,1
18.4963356,0.5958804,1
18.4343356,0.5878804,1
18.4723356,0.5568804,1
19.3013356,0.7778804,1
18.8733356,0.6108804,1
18.8083356,0.6508804,1
19.0473356,0.6928804,1
19.2623356,0.7278804,1
19.3233356,0.7098804,1
19.5313356,0.8758804,1
19.6113356,0.9378804,1
20.0893356,1.1578804,1
18.0823356,0.4668804,1
17.4553356,0.4878804,1
19.9663356,1.0368804,1
18.2763356,0.5628804,1
18.7383356,0.6738804,1
19.0963356,0.6548804,1
18.7203356,0.5478804,1
18.8773356,0.6838804,1
18.5333356,0.6098804,1
19.3623356,0.8178804,1
19.1403356,0.6298804,1
19.5873356,0.8628804,1
19.7893356,0.8768804,1
20.0963356,0.9568804,1
18.6073356,0.6228804,1
18.6643356,0.5388804,1
19.2353356,0.7338804,1
19.2513356,0.6828804,1
18.8833356,0.6278804,1
19.2663356,0.6588804,1
20.0563356,1.0058804,1
18.1783356,0.5898804,1
18.4523356,0.5868804,1
17.7573356,0.4158804,1
18.4973356,0.6538804,1
18.9513356,0.6298804,1
18.6783356,0.6518804,1
19.0073356,0.7598804,1
18.9963356,0.5968804,1
19.3303356,0.7228804,1
19.4913356,0.8128804,1
19.7763356,0.8818804,1
19.8743356,0.8108804,1
19.9123356,1.0228804,1
20.2733356,1.1238804,1
19.7593356,0.7498804,1
19.7353356,1.0458804,1
20.0423356,0.9428804,1
16.9273356,0.4578804,1
16.9173356,0.4678804,1
17.0283356,0.4478804,1
17.1323356,0.4608804,1
17.2013356,0.4788804,1
17.2113356,0.4188804,1
17.2743356,0.5098804,1
17.3353356,0.4678804,1
17.3393356,0.4648804,1
17.3863356,0.4308804,1
17.4323356,0.4668804,1
17.4723356,0.5258804,1
17.4783356,0.5148804,1
17.5803356,0.4708804,1
17.5773356,0.4698804,1
17.6123356,0.4758804,1
17.7033356,0.5298804,1
17.6763356,0.4738804,1
17.7063356,0.4688804,1
17.7213356,0.4878804,1
17.7223356,0.4398804,1
17.7713356,0.4878804,1
17.8463356,0.5338804,1
17.8763356,0.5148804,1
17.8423356,0.4998804,1
17.9953356,0.5428804,1
17.9733356,0.5308804,1
18.0323356,0.4978804,1
17.9853356,0.5628804,1
17.9803356,0.4638804,1
18.0593356,0.4618804,1
18.0313356,0.5458804,1
18.1013356,0.5128804,1
18.1433356,0.5248804,1
18.2253356,0.5538804,1
18.2003356,0.5228804,1
18.1553356,0.5578804,1
18.2773356,0.5268804,1
18.2173356,0.5618804,1
18.2803356,0.5398804,1
18.2153356,0.5948804,1
18.2943356,0.5788804,1
18.4483356,0.6178804,1
18.3773356,0.5248804,1
18.3113356,0.4858804,1
18.4213356,0.5668804,1
18.5103356,0.5698804,1
18.4533356,0.5968804,1
18.5913356,0.5598804,1
18.6463356,0.6768804,1
