kic,bjd0,period
KIC 4445630,54968.881486,5.6279121
KIC 4450976,54956.109541,12.044869
KIC 4451148,54954.385644,0.7359835
KIC 4454219,54964.662458,1.225733
KIC 4455763,55003.000749,0.766298
KIC 4456622,55004.020547,1.5028164
KIC 4458989,54954.158637,0.5298544
KIC 4464999,54953.822183,0.4341644
KIC 4466356,54998.374352,14.1281577
KIC 4466691,54999.998987,0.4826514
KIC 4470124,54999.042124,11.4389838
KIC 4474193,54964.738944,0.3225048
KIC 4474637,55002.9943,3.8867254
KIC 4476900,55000.141708,0.2796663
KIC 4480676,54965.087498,1.4239338
KIC 4484356,54965.01692,1.1441593
KIC 4544587,54954.135787,2.1890973
KIC 4545729,55011.690434,18.3835201
KIC 4547067,55000.054553,0.407575
KIC 4547308,54953.624244,0.5769285
KIC 4547480,54966.563088,4.4269474
KIC 4550750,55000.439574,1.5677741
KIC 4551328,54965.084253,1.0441159
KIC 4554004,55000.152874,0.7425074
KIC 4563150,54964.769475,0.2747205
KIC 4569923,54964.657797,0.3135835
KIC 4570326,54954.442727,1.1215525
KIC 4571536,54964.766088,0.676715
KIC 4574310,54954.661614,1.3062201
KIC 4579321,55002.944741,2.112395
KIC 4647652,54953.946994,1.064824
KIC 4649324,54965.226634,1.0356908
KIC 4651526,54999.972379,0.2981451
KIC 4660997,54954.051654,0.5625604
KIC 4661397,54964.689325,0.2923249
KIC 4665989,54965.752012,2.2480673
KIC 4669402,55002.983542,8.4964677
KIC 4669592,54964.986279,0.3784276
KIC 4670267,54966.375624,2.0060984
KIC 4671584,54967.031522,5.5933253
KIC 4672934,54964.705336,0.3827468
KIC 4677321,54966.345443,1.5721808
KIC 4678171,54965.80532,15.2887092
KIC 4679687,55000.391764,1.0279026
KIC 4681152,54954.060778,1.8359219
KIC 4729553,54954.462794,0.9612926
KIC 4737267,54972.612728,9.5240765
KIC 4737302,54957.214006,9.4555885
KIC 4738426,54964.659616,0.2488352
KIC 4739194,54965.020269,1.246586
KIC 4739791,54999.890185,0.8989211
KIC 4740676,54954.347846,3.4542411
KIC 4743508,55093.66556,2.086079
KIC 4743626,54954.927299,1.3028754
KIC 4751083,55000.401673,4.53237
KIC 4753988,54968.025737,7.304426
KIC 4757331,54966.303609,2.3620885
KIC 4758092,54964.779256,0.289166
KIC 4758368,54958.206761,3.7499354
KIC 4760746,54955.460027,15.0680733
KIC 4761060,55002.021782,3.3613913
KIC 4762887,54964.770988,0.7365737
KIC 4815612,54999.315013,3.8568
KIC 4826439,54965.657054,2.4742946
KIC 4832197,54954.965798,1.8954655
