kepid,kepler_name,koi_period,koi_time0bk,koi_duration
KIC 5358241,Kepler-53 b,18.64932728,174.771,4.4056
KIC 5358241,Kepler-53 d,9.75192101,138.78608,4.793
KIC 5358624,Kepler-428 b,3.525632539,170.0479951,2.59959
KIC 5364071,Kepler-49 b,7.203855862,170.285731,2.5418
KIC 5364071,Kepler-49 c,10.91274065,169.85247,2.1801
KIC 5364071,Kepler-49 d,2.576571021,172.126911,1.5997
KIC 5364071,Kepler-49 e,18.59611518,141.26331,2.3052
KIC 5371776,Kepler-304 b,3.295701024,133.966333,1.8268
KIC 5371776,Kepler-304 c,5.315954488,132.43002,1.1165
KIC 5371776,Kepler-304 d,9.65349016,134.85555,2.9029
KIC 5371776,Kepler-304 e,1.499144441,133.07022,1.4259
KIC 5371777,Kepler-1589 b,0.991659646,131.53686,2.215
KIC 5374854,Kepler-633 b,8.50339249,170.86894,2.9569
KIC 5375194,Kepler-964 b,13.52252364,142.17932,3.987
KIC 5383248,Kepler-96 b,16.23847733,171.019564,3.9699
KIC 5384079,Kepler-348 b,7.05675145,132.53512,2.0261
KIC 5384079,Kepler-348 c,17.2653659,135.3549,5.02
KIC 5436502,Kepler-238 b,2.090811305,134.17462,3.388
KIC 5436502,Kepler-238 c,6.15560285,134.81656,4.9843
KIC 5436502,Kepler-238 d,13.23352214,140.32196,6.7372
KIC 5438099,Kepler-306 b,4.64622383,354.58863,2.5137
KIC 5438099,Kepler-306 c,7.24022418,355.01243,2.9153
KIC 5438099,Kepler-306 d,17.32670445,360.5083,4.269
KIC 5438757,Kepler-903 b,10.35078415,133.71163,6.253
KIC 5440317,Kepler-1438 b,2.31941571,131.93925,1.591
KIC 5444548,Kepler-545 b,13.24931848,179.52171,4.4859
KIC 5446285,Kepler-88 b,10.916108342,133.009227,3.6496
KIC 5456651,Kepler-239 b,11.76307164,180.93613,2.9076
KIC 5480640,Kepler-399 b,14.4252635,136.75608,3.754
KIC 5511081,Kepler-338 b,13.72710334,138.74473,7.3419
KIC 5511081,Kepler-338 e,9.34145925,132.38581,6.18
KIC 5513012,Kepler-1310 b,0.679336747,132.856178,1.2188
KIC 5514383,Kepler-506 b,6.88341278,172.66227,2.0674
KIC 5520547,Kepler-1401 b,11.20058855,137.51003,4.562
KIC 5526527,Kepler-970 b,16.7364755,143.13606,2.151
KIC 5531576,Kepler-240 b,4.14451656,135.92831,2.3421
KIC 5531576,Kepler-240 c,7.953547,174.66224,2.6312
KIC 5531694,Kepler-634 b,5.16949729,170.31339,4.5122
KIC 5546691,Kepler-1283 b,12.9462567,139.4165,9.568
KIC 5546761,Kepler-1125 b,17.6700291,131.60103,6.693
KIC 5551240,Kepler-1626 b,4.13960513,134.04705,3.31
KIC 5599774,Kepler-1195 b,8.49640437,138.73595,2.2128
KIC 5602588,Kepler-1211 b,11.01819178,139.87858,4.635
KIC 5617854,Kepler-901 b,3.517494725,135.546724,1.5639
KIC 5621125,Kepler-959 b,14.80075082,132.82179,5.762
KIC 5629353,Kepler-1640 b,7.5844241,137.847,3.918
KIC 5629538,Kepler-1201 b,15.18727049,134.05495,4.509
KIC 5640085,Kepler-159 b,10.13958818,178.45074,2.6446
KIC 5644412,Kepler-1565 b,1.538185321,132.49067,1.683
KIC 5651104,Kepler-695 b,3.04033046,169.9490106,1.8411
KIC 5652893,Kepler-1347 b,14.00948631,132.96947,3.399
KIC 5683743,Kepler-546 b,4.147021189,170.325835,2.8997
KIC 5686174,Kepler-622 b,14.28228147,180.84677,2.6588
KIC 5688790,Kepler-1439 b,8.07394097,540.04161,2.455
KIC 5689351,Kepler-169 b,3.25058201,133.69472,2.2537
KIC 5689351,Kepler-169 c,6.1954595,134.71507,2.952
KIC 5689351,Kepler-169 d,8.34819209,136.84111,2.835
KIC 5689351,Kepler-169 e,13.76710058,174.81089,2.9105
